"post_id","Page.Likes.at.Posting","Likes","Comments","Shares","Love","Wow","Haha","Sad","Angry","Thankful","Post.Views","Total.Views","language","plurality","unigrams_total","gna_unigrams","lna_unigrams","bigrams_total","gna_bigrams","lna_bigrams","post_date","page_id"
8486,1282769,343,21,2,3,0,3,0,0,0,0,0,"arabic","Libya",17,0,0,9,0,0,2019-04-13,1101
8487,1557410,313,9,2,6,0,1,1,1,0,0,0,"arabic","Location hidden",11,0,0,5,0,0,2019-04-13,381
8488,1282769,215,3,2,2,0,1,0,0,0,0,0,"arabic","Libya",15,0,0,7,0,0,2019-04-13,1101
8489,298587,921,39,2,1,4,0,14,30,0,0,0,"arabic","Libya",18,1,0,11,0,0,2019-04-13,1169
8490,124301,74,2,2,2,0,0,0,0,0,0,0,"arabic","Libya",117,3,0,74,0,0,2019-04-13,1241
8491,NA,151,4,2,0,1,0,0,1,0,0,0,"arabic","Libya",21,0,0,12,0,0,2019-04-13,1253
8492,NA,410,10,2,10,1,0,0,0,0,0,0,"arabic","Libya",19,0,0,11,0,0,2019-04-13,1213
8493,NA,534,11,2,11,2,2,0,0,0,0,0,"arabic","Libya",18,2,0,7,1,0,2019-04-13,1213
8494,152818,168,9,2,1,0,3,0,0,0,0,0,"arabic","Location hidden",46,0,0,17,0,0,2019-04-13,991
8495,144550,255,0,2,0,2,0,2,0,0,0,0,"arabic","Egypt",10,0,0,7,0,0,2019-04-13,1474
8496,206652,630,65,2,12,1,15,1,0,0,0,0,"arabic","Libya",20,0,0,10,0,0,2019-04-13,1040
8497,1282769,71,1,2,0,1,1,0,0,0,0,0,"arabic","Libya",37,0,0,15,0,0,2019-04-13,1101
8498,954070,368,25,2,1,2,4,0,1,0,0,0,"arabic","Location hidden",32,0,0,17,0,0,2019-04-13,818
8499,182029,404,53,2,20,0,0,9,0,0,0,0,"arabic","Libya",11,0,0,3,0,0,2019-04-07,1480
8500,176974,342,5,2,1,1,0,1,0,0,0,0,"arabic","Libya",115,2,1,71,0,0,2019-04-07,1190
8501,1276803,310,1,2,8,0,1,0,0,0,0,0,"arabic","Jordan",26,0,0,13,0,0,2019-04-07,3
8502,NA,287,27,2,2,0,1,38,0,0,0,0,"arabic","Turkey",72,2,0,44,0,0,2019-04-07,1312
8503,109897,86,6,2,3,0,1,0,0,0,0,0,"arabic","Libya",84,0,0,26,0,0,2019-04-07,1327
8504,NA,85,3,2,0,0,0,3,0,0,0,0,"arabic","Libya",60,0,0,33,0,0,2019-04-07,1090
8505,145949,444,33,2,0,3,17,0,0,0,0,0,"arabic","Libya",14,1,0,7,0,0,2019-04-07,23
8506,191527,133,5,2,2,0,0,0,0,0,0,0,"arabic","Libya",19,2,0,9,1,0,2019-04-07,892
8507,476553,192,18,2,2,0,4,0,1,0,0,0,"arabic","Libya",8,0,0,3,0,0,2019-04-07,1279
8508,1436,38,7,2,0,0,15,0,0,0,0,0,"arabic","Libya",24,0,1,9,0,0,2019-04-08,1187
8509,168384,9,2,2,0,0,1,0,1,0,0,0,"arabic","Algeria",101,0,6,36,0,0,2019-04-08,835
8510,127700,457,45,2,6,0,14,2,0,0,0,0,"arabic","Canada",23,0,0,12,0,0,2019-04-08,1228
8511,142679,526,12,2,6,0,0,2,0,0,0,0,"arabic","Egypt",30,0,0,14,0,0,2019-04-08,1474
8512,NA,336,3,2,1,0,0,0,0,0,0,0,"arabic","Libya",9,0,0,6,0,0,2019-04-08,1450
8513,NA,123,1,2,0,0,0,0,0,0,0,0,"arabic","Libya",12,0,0,6,0,0,2019-04-08,1253
8514,25793,197,11,2,3,0,1,0,0,0,0,0,"arabic","Libya",37,0,0,13,0,0,2019-04-08,950
8515,133727,26,4,2,0,0,0,0,0,0,0,0,"arabic","Libya",50,0,0,26,0,0,2019-04-08,1473
8516,279764,738,47,2,3,4,2,4,1,0,0,0,"arabic","Libya",48,1,0,45,0,0,2019-04-08,1169
8517,147067,37,1,2,1,0,4,0,0,0,1929,2023,"arabic","Libya",17,0,0,8,0,0,2019-04-21,23
8518,173071,835,32,2,10,0,3,0,0,0,0,0,"arabic","Libya",11,0,0,4,0,0,2019-04-21,1178
8519,138782,563,18,2,9,0,1,0,0,0,0,0,"arabic","Libya",4,0,0,1,0,0,2019-04-21,1342
8520,234311,391,15,2,4,0,1,0,0,0,0,0,"arabic","Libya",13,0,0,10,0,0,2019-04-03,1326
8521,234311,569,22,2,11,1,1,0,0,0,0,0,"arabic","Libya",17,0,0,10,0,0,2019-04-03,1326
8522,117419,354,16,2,5,3,2,0,0,0,0,0,"arabic","Libya",8,0,0,3,0,0,2019-04-03,1478
8523,3780,332,11,2,3,0,0,0,0,0,0,0,"arabic","Libya",1,0,0,1,0,0,2019-04-03,1151
8524,1263835,828,28,2,10,3,6,0,1,0,0,0,"arabic","Jordan",9,0,0,5,0,0,2019-04-03,3
8525,234311,442,9,2,5,1,3,0,0,0,0,0,"arabic","Libya",13,0,0,5,0,0,2019-04-03,1326
8526,167713,181,4,2,4,0,3,0,0,0,0,0,"arabic","Libya",14,0,0,7,0,0,2019-04-03,1466
8527,265544,608,15,2,9,1,0,0,0,0,0,0,"arabic","Libya",11,0,0,2,0,0,2019-04-03,1169
8528,NA,365,3,2,0,0,0,0,0,0,0,0,"arabic","Libya",1,0,0,1,0,0,2019-04-03,1271
8529,25123,687,22,2,23,0,0,0,0,0,0,0,"arabic","Libya",4,0,0,1,0,0,2019-04-03,1233
8530,186178,1024,51,2,1,11,3,7,2,0,0,0,"arabic","Libya",12,0,0,5,0,0,2019-04-03,1223
8531,98765,204,13,2,7,0,1,1,0,0,0,0,"arabic","Libya",9,0,0,6,0,0,2019-04-03,1098
8532,185300,788,12,2,3,3,3,0,0,0,0,0,"arabic","Tunisia",16,0,0,10,0,0,2019-04-03,774
8533,213666,52,4,2,0,2,2,0,0,0,0,0,"arabic","Tunisia",15,0,0,7,0,0,2019-04-03,40
8534,948573,398,15,2,0,3,5,0,0,0,0,0,"arabic","Location hidden",33,0,0,14,0,0,2019-04-03,818
8535,605519,205,2,2,0,3,2,0,0,0,0,0,"arabic","Egypt",23,0,0,10,0,0,2019-04-03,380
8536,180662,61,7,2,0,0,1,0,0,0,0,0,"arabic","Libya",8,1,0,1,0,0,2019-04-03,892
8537,158564,407,8,2,5,2,2,0,0,0,0,0,"arabic","Location hidden",11,0,0,8,0,0,2019-04-03,1163
8538,NA,43,0,2,0,0,0,0,0,0,0,0,"arabic","Turkey",17,1,0,5,0,0,2019-04-03,1452
8539,948573,363,48,2,0,1,8,0,0,0,0,0,"arabic","Location hidden",29,0,0,15,0,0,2019-04-03,818
8540,NA,410,51,2,8,1,11,1,0,0,0,0,"arabic","Libya",99,1,0,29,0,0,2019-04-03,1227
8541,1281792,152,7,2,0,2,4,1,1,0,0,0,"arabic","Libya",28,0,0,16,0,0,2019-04-03,1101
8542,NA,57,2,2,0,0,0,1,1,0,0,0,"arabic","Libya",47,0,0,24,0,0,2019-04-11,758
8543,189475,320,28,2,4,1,5,0,0,0,0,0,"arabic","Libya",9,0,0,5,0,0,2019-04-06,892
8544,171114,69,7,2,0,0,17,0,0,0,0,0,"arabic","Libya",40,0,1,21,0,0,2019-04-29,1466
8545,49963,435,17,2,1,2,20,0,0,0,0,0,"arabic","Libya",29,0,0,11,0,0,2019-04-29,950
8546,189475,223,3,2,3,0,0,0,1,0,0,0,"arabic","Libya",8,0,0,4,0,0,2019-04-06,892
8547,160193,565,15,2,10,0,3,0,0,0,0,0,"arabic","Libya",19,0,0,8,0,0,2019-04-29,815
8548,127707,617,24,2,5,0,0,1,0,0,0,0,"arabic","Turkey",17,0,0,15,0,0,2019-04-06,1218
8549,120350,210,1,2,1,0,0,0,0,0,0,0,"arabic","Libya",18,0,0,7,0,0,2019-04-06,1478
8550,170439,272,4,2,3,0,4,1,0,0,0,0,"arabic","Libya",14,0,0,5,0,0,2019-04-06,1281
8551,184627,672,55,2,1,0,9,1,1,0,0,0,"arabic","Location hidden",22,0,0,9,0,0,2019-04-06,1092
8552,1269975,182,6,2,0,0,3,1,2,0,0,0,"arabic","Jordan",30,0,0,13,0,0,2019-04-06,389
8553,147694,1062,18,2,1,4,5,11,2,0,0,0,"arabic","Libya",23,0,0,11,0,0,2019-04-06,781
8554,NA,1102,62,2,21,2,7,1,0,0,0,0,"arabic","Libya",84,1,0,53,0,0,2019-04-06,1006
8555,338878,898,11,2,1,3,8,6,5,0,0,0,"arabic","Libya",23,0,0,10,0,0,2019-04-06,1404
8556,120350,295,37,2,0,2,13,0,0,0,0,0,"arabic","Libya",96,0,1,31,0,0,2019-04-06,1478
8557,156522,170,5,2,0,2,1,6,0,0,0,0,"arabic","Tunisia",34,0,0,18,0,0,2019-04-06,1133
8558,189829,190,11,2,3,1,2,0,0,0,0,0,"arabic","Libya",7,0,0,3,0,0,2019-04-06,1040
8559,215377,50,0,2,0,0,3,0,0,0,0,0,"arabic","Tunisia",19,0,0,9,0,0,2019-04-06,40
8560,189475,169,17,2,3,1,1,0,1,0,0,0,"arabic","Libya",16,0,0,11,0,0,2019-04-06,892
8561,168441,169,9,2,3,0,0,0,0,0,0,0,"arabic","Libya",14,0,0,6,0,0,2019-04-06,1466
8562,NA,107,1,2,0,0,0,0,0,0,0,0,"arabic","Libya",56,0,0,20,0,0,2019-04-06,207
8563,189475,99,8,2,3,0,2,0,0,0,4669,4670,"arabic","Libya",16,0,0,14,0,0,2019-04-06,892
8564,419386,1770,159,2,7,8,24,60,4,0,0,0,"arabic","Libya",7,0,0,4,0,0,2019-04-06,460
8565,350488,935,15,2,2,1,0,2,9,0,0,0,"arabic","Libya",5,0,0,2,0,0,2019-04-06,1334
8566,195048,239,10,2,0,0,0,0,5,0,270,274,"arabic","Location hidden",11,0,0,5,0,0,2019-04-06,774
8567,127316,363,16,2,3,1,1,0,0,0,0,0,"arabic","Libya",5,0,0,1,0,0,2019-04-06,1481
8568,NA,42,12,2,3,0,0,0,0,0,0,0,"arabic","Algeria",109,0,0,51,0,0,2019-04-05,1425
8569,2778,254,2,2,0,0,0,1,0,0,0,0,"arabic","Libya",13,0,0,8,0,0,2019-04-25,1187
8570,497435,300,3,2,1,1,2,0,0,0,0,0,"arabic","Libya",14,0,0,8,0,0,2019-04-25,1279
8571,138626,69,6,2,0,1,0,0,0,0,0,0,"arabic","Libya",93,0,0,37,0,0,2019-04-25,1335
8572,NA,153,15,2,2,5,1,0,2,0,0,0,"arabic","Libya",26,0,0,11,0,0,2019-04-25,1227
8573,2608,115,0,2,1,0,0,0,0,0,0,0,"arabic","Libya",12,0,1,1,0,0,2019-04-25,383
8574,NA,179,2,2,2,1,4,0,0,0,0,0,"arabic","Libya",20,0,0,8,0,0,2019-04-09,1373
8575,NA,610,16,2,1,1,2,3,0,0,0,0,"arabic","Libya",10,0,0,3,0,0,2019-04-09,1291
8576,1282892,193,0,2,2,1,0,2,0,0,0,0,"arabic","Libya",11,0,0,8,0,0,2019-04-09,1101
8577,952737,287,25,2,1,0,0,1,0,0,0,0,"arabic","Location hidden",32,0,0,19,0,0,2019-04-09,818
8578,NA,1303,66,2,8,0,10,1,0,0,0,0,"arabic","Libya",11,0,0,4,0,0,2019-04-09,1271
8579,4031,27,2,2,0,0,0,0,0,0,0,0,"arabic","Libya",100,0,0,31,0,0,2019-04-09,830
8580,NA,230,11,2,1,0,2,0,1,0,0,0,"arabic","Libya",45,1,0,14,0,0,2019-04-08,865
8581,147091,69,9,2,0,0,1,4,0,0,0,0,"arabic","Libya",13,0,0,7,0,0,2019-04-22,23
8582,2476,42,1,2,0,0,0,0,0,0,256,1660,"arabic","Libya",10,0,0,5,0,0,2019-04-22,1187
8583,85631,240,6,2,1,0,0,0,0,0,0,0,"arabic","Libya",18,0,0,8,0,0,2019-04-22,824
8584,7470,11,2,2,0,1,0,0,0,0,0,0,"arabic","France",27,0,0,13,0,0,2019-04-05,600
8585,156825,44,9,2,1,0,3,1,1,0,0,0,"arabic","France",27,0,0,13,0,0,2019-04-05,1435
8586,NA,597,18,2,6,0,7,0,0,0,0,0,"arabic","Malta",37,1,0,24,0,0,2019-04-05,1312
8587,NA,154,7,2,2,0,11,0,0,0,0,0,"arabic","Turkey",9,0,0,5,0,0,2019-04-05,1403
8588,NA,61,6,2,0,0,1,0,0,0,0,0,"arabic","Turkey",43,0,0,24,0,0,2019-04-05,1353
8589,410753,798,70,2,5,5,35,0,0,0,0,0,"arabic","Libya",12,1,1,7,0,0,2019-04-05,1381
8590,949528,351,14,2,0,1,0,0,0,0,0,0,"arabic","Location hidden",27,0,0,13,0,0,2019-04-05,818
8591,606157,320,17,2,1,2,20,0,0,0,0,0,"arabic","Egypt",24,0,0,13,0,0,2019-04-05,380
8592,NA,864,40,2,22,0,5,0,0,0,0,0,"arabic","Libya",7,0,0,3,0,0,2019-04-05,1006
8593,NA,231,13,2,1,1,0,5,0,0,0,0,"arabic","Libya",17,0,0,4,0,0,2019-04-05,1292
8594,280039,1110,58,2,5,6,17,0,0,0,0,0,"arabic","Libya",7,0,0,3,0,0,2019-04-05,789
8595,166113,232,18,2,1,0,6,0,0,0,0,0,"arabic","Libya",15,0,0,3,0,0,2019-04-05,1281
8596,1223423,33,6,2,0,0,1,0,0,0,0,0,"arabic","Egypt",34,0,0,22,0,0,2019-04-04,1128
8597,494456,492,14,2,4,1,2,0,0,0,0,0,"arabic","Libya",37,0,0,15,0,0,2019-04-20,1279
8598,494456,295,11,2,2,1,1,1,0,0,0,0,"arabic","Libya",17,0,0,12,0,0,2019-04-20,1279
8599,191873,445,33,2,1,5,9,1,0,0,0,0,"arabic","Libya",13,0,0,6,0,0,2019-04-20,767
8600,982055,394,38,2,4,0,11,0,0,0,0,0,"arabic","Location hidden",54,0,0,27,0,0,2019-04-20,788
8601,129945,305,58,2,1,6,17,0,2,0,0,0,"arabic","Libya",9,0,0,6,0,0,2019-04-20,1478
8602,NA,175,2,2,0,0,0,1,2,0,0,0,"arabic","Libya",9,0,0,3,0,0,2019-04-20,1158
8603,217654,56,0,2,0,0,0,0,4,0,0,0,"arabic","Tunisia",21,0,0,10,0,0,2019-04-20,40
8604,112304,19,0,2,0,0,1,0,0,0,0,0,"arabic","Libya",63,0,0,42,0,0,2019-04-20,889
8605,1282759,338,26,2,1,0,5,0,0,0,0,0,"arabic","Libya",27,0,0,15,0,0,2019-04-20,1101
8606,NA,179,8,2,1,1,0,2,2,0,0,0,"arabic","Libya",27,0,0,12,0,1,2019-04-20,1264
8607,110507,370,17,2,12,0,48,0,0,0,0,0,"arabic","Libya",47,0,0,9,0,0,2019-04-20,1327
8608,137305,285,22,2,3,1,1,0,0,0,0,0,"arabic","Libya",36,1,0,9,0,0,2019-04-20,1335
8609,133456,367,11,2,4,0,0,3,2,0,0,0,"arabic","Libya",15,0,0,5,0,0,2019-04-20,1195
8610,NA,11,2,2,0,1,0,0,0,0,0,0,"arabic","Kuwait",12,0,0,3,0,0,2019-04-10,1239
8611,124824,337,6,2,1,0,0,1,0,0,0,0,"arabic","Libya",8,0,0,4,0,0,2019-04-10,1478
8612,1272069,524,5,2,2,1,0,1,0,0,0,0,"arabic","Jordan",9,0,0,5,0,0,2019-04-10,389
8613,310447,14,1,2,0,0,2,2,0,0,0,0,"arabic","Tunisia",18,0,0,8,0,0,2019-04-10,12
8614,15434,22,0,2,1,0,0,0,0,0,0,0,"arabic","Libya",12,0,0,9,0,0,2019-04-10,1199
8615,33809,129,3,2,0,0,1,3,0,0,0,0,"arabic","Libya",162,4,0,152,0,0,2019-04-10,950
8616,288044,305,8,2,0,0,25,0,1,0,0,0,"arabic","Libya",10,0,1,3,0,0,2019-04-10,1169
8617,NA,62,2,2,2,0,0,0,0,0,0,0,"arabic","Turkey",9,1,0,5,0,0,2019-04-10,1452
